DATA,REPL,NRET,MTHD,BIPA,BIPB,BRLN,BRLN_MAP_GT,BRLN_MLE_GT,BRLN_MLE_RI,Q1,Q2,Q3,EN,PP
6taxa,16,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.010308,0.010350,0.010361,0.010308,0.340205,0.331994,0.327801,46114.333333,0.996487
6taxa,17,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.104039,0.109240,0.109254,0.104039,0.402332,0.298199,0.299469,46204.000000,1.000000
6taxa,17,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.007641,0.007659,0.007670,0.007641,0.338427,0.330305,0.331268,45988.500000,0.967342
6taxa,17,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.008871,0.008899,0.008910,0.008871,0.339247,0.330757,0.329997,46052.000000,0.988170
6taxa,18,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.011193,0.011244,0.011255,0.011193,0.340795,0.331991,0.327214,46118.666667,0.998567
6taxa,18,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.006444,0.006454,0.006465,0.006444,0.337629,0.332785,0.329586,46030.500000,0.916040
6taxa,18,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.102362,0.107400,0.107414,0.102362,0.401231,0.300586,0.298183,46198.666667,1.000000
6taxa,19,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.103515,0.108664,0.108679,0.103515,0.401988,0.300516,0.297496,46249.333333,1.000000
6taxa,19,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.013413,0.013491,0.013503,0.013413,0.342275,0.328283,0.329442,46172.000000,0.999915
6taxa,19,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.011808,0.011867,0.011878,0.011808,0.341205,0.328180,0.330615,46142.333333,0.999376
6taxa,20,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.103975,0.109170,0.109184,0.103975,0.402290,0.298524,0.299186,46319.000000,1.000000
6taxa,20,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.007616,0.007634,0.007645,0.007616,0.338410,0.331693,0.329897,45925.750000,0.965750
6taxa,20,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.011111,0.011161,0.011173,0.011111,0.340740,0.330674,0.328586,46128.000000,0.998655
6taxa,21,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.098260,0.102908,0.102922,0.098260,0.398535,0.300980,0.300484,46377.333333,1.000000
6taxa,21,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.009190,0.009221,0.009232,0.009190,0.339460,0.329338,0.331202,45990.000000,0.990803
6taxa,21,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.012071,0.012133,0.012144,0.012071,0.341380,0.326740,0.331879,45924.333333,0.999444
6taxa,22,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.009343,0.009375,0.009386,0.009343,0.339562,0.330995,0.329443,46052.750000,0.992130
6taxa,22,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.099766,0.104555,0.104570,0.099766,0.399525,0.299281,0.301193,46197.333333,1.000000
6taxa,22,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.011311,0.011363,0.011375,0.011311,0.340873,0.329625,0.329502,46050.333333,0.998944
6taxa,23,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.103410,0.108549,0.108564,0.103410,0.401919,0.296698,0.301383,46308.666667,1.000000
6taxa,23,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.009245,0.009276,0.009287,0.009245,0.339496,0.331094,0.329410,46002.000000,0.991311
6taxa,23,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.011842,0.011901,0.011912,0.011842,0.341227,0.329879,0.328893,45997.666667,0.999409
6taxa,24,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.011189,0.011240,0.011251,0.011189,0.340792,0.331530,0.327678,46020.750000,0.998635
6taxa,24,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.100515,0.105375,0.105389,0.100515,0.400017,0.300688,0.299295,46186.333333,1.000000
6taxa,24,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.008182,0.008204,0.008215,0.008182,0.338788,0.330200,0.331012,45998.333333,0.978723
6taxa,25,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.099588,0.104360,0.104375,0.099588,0.399408,0.302387,0.298205,46069.000000,1.000000
6taxa,25,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.011393,0.011446,0.011458,0.011393,0.340928,0.326284,0.332788,46127.750000,0.998648
6taxa,25,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.006432,0.006441,0.006452,0.006432,0.337621,0.332827,0.329552,46101.000000,0.915115
26taxa,NA,NA,true,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT","TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",7.000000,NA,NA,NA,NA,NA,NA,NA,NA
