MODL,NRET,MTHD,THRC,AVG_FNR,AVG_FPR,STD_FNR,STD_FPR,SE_FNR,SE_FPR,NREP
26taxa,5000,mdc-bp,0.0,0.0034782399999999996,0.0034782399999999996,0.011795285720252815,0.011795285720252815,0.002359057144050563,0.002359057144050563,25
26taxa,5000,mdc-bp-ur,0.0,0.0034782399999999996,0.0034782399999999996,0.011795285720252815,0.011795285720252815,0.002359057144050563,0.002359057144050563,25
26taxa,10000,parsimony-strict,0.0,0.0034782399999999996,0.0034782399999999996,0.011795285720252815,0.011795285720252815,0.002359057144050563,0.002359057144050563,25
26taxa,10000,camin-sokal-strict,0.0,0.036521519999999995,0.036521519999999995,0.015939298085223198,0.015939298085223198,0.0031878596170446397,0.0031878596170446397,25
26taxa,10000,dollo-strict,0.0,0.02260868,0.02086956,0.030422428996672832,0.030422435856558232,0.006084485799334566,0.006084487171311647,25
26taxa,10000,astrid-bp,0.0,0.0017391199999999998,0.0017391199999999998,0.008519913202938162,0.008519913202938162,0.0017039826405876324,0.0017039826405876324,25
26taxa,10000,astral-bp,0.0,0.0017391199999999998,0.0017391199999999998,0.008519913202938162,0.008519913202938162,0.0017039826405876324,0.0017039826405876324,25
26taxa,10000,mdc-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,10000,mdc-bp-ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,50000,parsimony-strict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,50000,camin-sokal-strict,0.0,0.039999759999999995,0.039999759999999995,0.011795285720252815,0.011795285720252815,0.002359057144050563,0.002359057144050563,25
26taxa,50000,dollo-strict,0.0,0.0017391199999999998,0.0017391199999999998,0.008519913202938162,0.008519913202938162,0.0017039826405876324,0.0017039826405876324,25
26taxa,50000,astrid-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,50000,astral-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,50000,mdc-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,50000,mdc-bp-ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,parsimony-strict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,camin-sokal-strict,0.0,0.04173888,0.04173888,0.008519913202938162,0.008519913202938162,0.0017039826405876324,0.0017039826405876324,25
26taxa,100000,dollo-strict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,astrid-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,astral-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,mdc-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,mdc-bp-ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Palaeognathae,10,parsimony-strict,0.0,0.5760000000000001,0.08800000000000002,0.12737346662472526,0.08634813257969162,0.025474693324945053,0.017269626515938323,25
Palaeognathae,10,camin-sokal-strict,0.0,0.572,0.07600000000000001,0.12496399481450644,0.08138795979750321,0.02499279896290129,0.016277591959500643,25
Palaeognathae,10,dollo-strict,0.0,0.5760000000000001,0.08800000000000001,0.13646977687385586,0.09516301802696256,0.027293955374771174,0.019032603605392513,25
Palaeognathae,10,astrid-bp,0.0,0.46799999999999997,0.46799999999999997,0.16178998732925348,0.16178998732925348,0.0323579974658507,0.0323579974658507,25
Palaeognathae,10,astral-bp,0.0,0.5,0.5,0.1296148139681572,0.1296148139681572,0.02592296279363144,0.02592296279363144,25
Palaeognathae,10,mdc-bp,0.0,0.49199999999999994,0.49199999999999994,0.144,0.144,0.0288,0.0288,25
Palaeognathae,10,mdc-bp-ur,0.0,0.58,0.12400000000000003,0.12328828005937952,0.09068627239003707,0.024657656011875903,0.018137254478007413,25
Palaeognathae,50,parsimony-strict,0.0,0.34800000000000003,0.11200000000000002,0.08997777503361594,0.09927738916792686,0.017995555006723188,0.01985547783358537,25
Palaeognathae,50,camin-sokal-strict,0.0,0.336,0.11600000000000002,0.08890444308357147,0.08800000000000001,0.017780888616714292,0.0176,25
Palaeognathae,50,dollo-strict,0.0,0.336,0.14,0.08890444308357147,0.10583005244258363,0.017780888616714292,0.021166010488516726,25
Palaeognathae,50,astrid-bp,0.0,0.272,0.272,0.09173875952943772,0.09173875952943772,0.018347751905887544,0.018347751905887544,25
Palaeognathae,50,astral-bp,0.0,0.284,0.284,0.09666436778875659,0.09666436778875659,0.019332873557751318,0.019332873557751318,25
Palaeognathae,50,mdc-bp,0.0,0.28,0.28,0.10583005244258363,0.10583005244258363,0.021166010488516726,0.021166010488516726,25
Palaeognathae,50,mdc-bp-ur,0.0,0.28400000000000003,0.236,0.10461357464497617,0.09329523031752479,0.020922714928995233,0.018659046063504957,25
Palaeognathae,100,parsimony-strict,0.0,0.28,0.09200000000000001,0.06928203230275509,0.08908422980528036,0.013856406460551019,0.017816845961056073,25
